"V2";"V3"
"2020-04-11";"Perdonig"
"2020-04-11";"Verdings"
"2020-04-10";"St. Peter/Villn"
"2020-04-11";"Pfunders"
"2020-04-11";"St. Michael/Eppan"
"2020-04-10";"Meran"
"2020-04-10";"Percha"
"2020-04-10";"Breien"
"2020-04-08";"Bozen"
"2020-04-08";"Untermoi"
"2020-04-10";"Unterrain"
"2020-04-10";"Kaltern"
"2020-04-10";"Rabland"
"2020-04-10";"Nals"
"2020-04-10";"Untermais"
"2020-04-09";"Gries"
"2020-04-08";"Bozen"
"2020-04-09";"Brixen"
"2020-04-11";"St. Michael/Eppan"
"2020-04-10";"St. Anton/Kaltern"
"2020-04-10";"Berg/Eppan"
"2020-04-10";"Untermais"
"2020-04-10";"Breien"
"2020-04-10";"Percha"
"2020-04-10";"Meran"
"2020-04-09";"Kaltern"
"2020-04-08";"Allitz"
"2020-04-08";"Kaltern"
"2020-04-08";"Frangart"
"2020-04-08";"Stegen"
"2020-04-10";"Berg/Eppan"
"2020-04-10";"St. Anton/Kaltern"
"2020-04-09";"Meran"
"2020-04-09";"Sterzing"
NA;"04.04.2020"
"2020-04-09";"Kaltern"
"2020-04-08";"Klausen"
"2020-04-08";"St. Christina"
"2020-04-09";"St. Johann im Ahrntal"
"2020-04-08";"St. Leonhard i. P."
"2020-04-08";"St. Ulrich"
"2020-04-08";"Taisten"
"2020-04-07";"Prsels"
"2020-04-08";"Stegen"
"2020-04-08";"Frangart"
"2020-04-03";"Bozen"
"2020-04-08";"Kaltern"
"2020-04-08";"Allitz"
"2020-04-07";"Algund"
"2020-04-07";"Welsberg"
"2020-04-07";"Brixen"
"2020-04-06";"Schenna"
"2020-04-04";"Seis am Schlern"
"2020-04-06";"St. Peter/Villn"
"2020-04-06";"Terlan"
"2020-04-07";"Klausen"
"2020-04-06";"Gries"
"2020-04-05";"Welschnofen"
"2020-04-06";"Neustift"
"2020-04-04";"Feldthurns"
"2020-04-06";"Bruneck"
"2020-04-06";"Antholz-Mittertal"
"2020-04-05";"Bruneck"
"2020-04-06";"Plaus"
"2020-04-06";"St. Lorenzen"
"2020-04-05";"Girlan"
"2020-04-06";"St. Pankraz"
"2020-04-06";"St. Leonhard i. P."
"2020-04-06";"Innerprags"
"2020-04-03";"Meran"
"2020-04-05";"St. Gertraud"
"2020-04-03";"Auer"
"2020-04-05";"St. Michael/Eppan"
"2020-04-05";"Bruneck"
"2020-04-05";"St. Christina"
"2020-04-06";"St. Leonhard i. P."
"2020-04-05";"auerhalb Sdtirol"
"2020-04-05";"Innerratschings"
"2020-04-04";"Sterzing"
"2020-04-04";"Brixen"
"2020-04-05";"Girlan"
"2020-04-05";"St. Georgen"
"2020-04-05";"Welsberg"
"2020-04-05";"Meiern"
"2020-04-05";"Pfalzen"
"2020-04-04";"Bozen"
"2020-04-04";"Tisens"
"2020-04-04";"Pfalzen"
"2020-04-05";"Mals"
"2020-04-05";"Moos i. P."
"2020-04-04";"Gais"
"2020-04-04";"St. Lorenzen"
"2020-04-04";"Blumau"
"2020-04-04";"St. Martin/ Gsies"
"2020-04-04";"Bruneck"
"2020-04-04";"St. Leonhard i. P."
"2020-04-03";"Obervintl"
"2020-04-03";"St. Kassian"
"2020-04-03";"Meransen"
"2020-04-03";"Girlan"
"2020-04-03";"Gais"
"2020-04-01";"Bozen"
"2020-04-03";"Breien"
"2020-04-01";"Brixen"
"2020-04-02";"Glurns"
"2020-04-02";"St. Michael/Eppan"
"2020-04-02";"Sterzing"
"2020-04-02";"St. Pauls/Eppan"
"2020-04-02";"Tschengls"
"2020-04-02";"Obertelfes"
"2020-04-02";"St. Christina"
"2020-04-02";"Reschen"
"2020-04-02";"Meran"
"2020-04-02";"Vahrn"
"2020-04-02";"Schabs"
"2020-04-01";"Bozen"
"2020-04-01";"Bozen"
"2020-04-02";"St. Leonhard i. P."
"2020-04-02";"Oberolang"
"2020-04-02";"Girlan"
"2020-04-01";"St. Michael/Eppan"
"2020-03-31";"Allitz"
"2020-04-01";"Bruneck"
"2020-03-31";"Bruneck"
"2020-03-31";"Tabland"
"2020-03-31";"Welsberg"
"2020-03-31";"St. Pauls/Eppan"
"2020-03-31";"Eppan a. d. W."
"2020-03-31";"Bozen"
"2020-03-31";"Welschellen"
"2020-03-31";"Laas"
"2020-03-21";"Meran"
"2020-03-29";"Kortsch"
